,year,month,day,hour,slice_id,mode,centroid_latitude,centroid_longitude,area,solidity,minor_axis_length,major_axis_length,convex_area,eccentricity,mean_intensity,max_intensity,intense_area,convective_area,intense_total_ratio,convective_total_ratio,intense_convective_ratio,intensity_variance,max_characteristic_curvature,mean_characteristic_curvature,max_mean_characteristic_curvature,normalized_cell_count,convective_solidity,convective_length_width_ratio,parallel_stratiform_distance,normal_stratiform_distance,convective_length,convective_width,stratiform_width,stratiform_convective_width_ratio,system_convective_length_ratio,delaunay_edges,edge_proportion_min_is_none,edge_proportion_min_is_stratiform,edge_proportion_min_is_convective,edge_proportion_mean_is_none,edge_proportion_mean_is_stratiform,edge_proportion_mean_is_convective,edge_proportion_mean_is_intense,edge_mean_length,cell_centroid_spread,cell_centroid_r_square
0,2004,5,1,1,4,PS,31.346877207704292,266.97086839097483,8872,0.6632775119617225,65.2703115952659,247.70781884806055,13376,0.9646601662863326,27.959422903516682,59,224,1124,0.025247971145175834,0.1266907123534716,0.199288256227758,69.00737063179284,0.0017604147448991717,0.0002073765905201039,0.0002073765905201039,0.0002254283137962128,0.0840311004784689,7.184143222506394,84.72290020424249,18.7764730911111,106,14.754716981132075,33.96551724137931,2.3020107593262193,2.336866215547741,5,0.2,0.6,0.2,0.0,0.4,0.6,0.0,77.52366134489453,6.0,0.9904774730378408
1,2004,5,11,2,3,TS,30.464679018523185,257.5962737356876,18160,0.78764746703678,147.01474812091112,166.54744280843028,23056,0.4698994721307834,28.806387665198237,60,264,1428,0.014537444933920705,0.07863436123348018,0.18487394957983194,46.77595038716062,0.009676202597520524,0.004372552193024439,0.004372552193024439,0.00022026431718061675,0.06193615544760583,4.2464183381088825,-16.57815005006338,66.60698675219346,76,17.897435897435898,92.62222222222222,5.175167144221585,2.1914137211635563,3,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,54.07267825953587,20.0,0.23770827642720577
2,2004,5,12,2,0,BE,45.49816947833258,260.9887776129636,134624,0.5765185515091301,274.7986027435934,996.6614271464857,233512,0.9612382492304249,29.564000475398146,63,2784,18320,0.02067981934870454,0.13608271927739482,0.15196506550218342,66.51058185690493,0.00786369451103188,-0.0002713739889850511,0.0005824160287883997,0.00023027097694318992,0.07845421220322725,11.818950177935942,351.20498879939873,132.4715054941461,326,27.58282208588957,82.64313725490196,2.9961813551043193,3.057243641553637,110,0.5909090909090909,0.4090909090909091,0.0,0.2727272727272727,0.6545454545454545,0.07272727272727272,0.0,98.64851865598928,106.0,0.6386199093857603
3,2004,5,12,2,1,BE,30.834317025995396,266.1970461593037,49700,0.6055953599454111,209.44798299914254,435.98874119330503,82068,0.8770507750104151,31.792112676056338,55,260,6836,0.005231388329979879,0.13754527162977867,0.038033937975424224,49.940122900784985,0.010124200903529607,0.0005427167697002169,0.0005427167697002169,0.00026156941649899395,0.08329677828142516,13.0081044574516,19.06367737948781,43.04700355953719,334,25.67630057803468,72.19642857142857,2.8117924680002573,1.3053555125548055,30,0.8,0.2,0.0,0.5,0.4666666666666667,0.03333333333333333,0.0,116.66198115180171,58.0,0.4957790185817175
4,2004,5,12,2,2,NL,33.68768904084355,267.04398467869447,9064,0.6290949472515269,61.167293622863745,241.57060348826948,14408,0.9674122030685939,30.38261253309797,47,0,764,0.0,0.08428949691085613,0.0,38.74372238914566,0.0,0.0,0.0,0.000441306266548985,0.05302609661299278,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,0.4,0.6,0.0,0.0,1.0,0.0,0.0,95.95381455846177,11.0,0.9065245176800318
5,2004,5,12,20,0,TS,32.45057952460264,269.63312292120065,116836,0.49516850884925745,437.96996408287515,580.2816256219014,235952,0.6560077558394797,29.917422712177753,57,360,10476,0.0030812420829196482,0.08966414461296175,0.03436426116838488,46.677969926453244,0.01560420121289888,0.0010029913085879845,0.002122188724566894,0.0003252422198637406,0.04439886078524446,7.214215202369201,155.51918934371378,127.81620494952969,168,23.28735632183908,93.01718213058419,3.9943212464762214,3.454057295368461,90,0.7777777777777778,0.2222222222222222,0.0,0.32222222222222224,0.6555555555555556,0.022222222222222223,0.0,101.24308738790612,285.0,0.02272879429199835
6,2004,5,12,20,1,CC,31.682891262600787,274.83134016216695,21668,0.4874032751484614,162.48991881586016,298.6859263971041,44456,0.8390748516958151,30.32213402252169,60,420,2952,0.01938342255861178,0.13623776998338563,0.14227642276422764,61.09670964199735,0.0016202473803077985,-0.0009525295395004825,0.0006398735256644421,0.0007384160974709249,0.0664027352888249,6.535502958579881,12.628748583215426,60.332742928108004,94,14.382978723404255,41.0,2.850591715976331,3.177509855288341,44,0.8636363636363636,0.13636363636363635,0.0,0.38636363636363635,0.5227272727272727,0.09090909090909091,0.0,60.64161135609231,54.5,0.2712098687286724
7,2004,5,12,20,2,BL,32.165280486911115,277.668785676691,3916,0.591183574879227,52.90797162999243,146.60130568532716,6624,0.9326056799885177,30.881511746680285,56,72,756,0.018386108273748723,0.1930541368743616,0.09523809523809523,75.18514337345752,0.0,0.0,0.0,0.0015321756894790602,0.11413043478260869,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0.8333333333333334,0.16666666666666666,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,70.70529403412327,12.5,0.7125853793831103
8,2004,5,13,0,0,TS,30.970528245060702,270.06342484391683,56276,0.707767381024248,183.8957895658686,447.03647669878086,79512,0.911470064539038,31.573814770061837,55,588,7924,0.010448503802686759,0.14080602743620727,0.07420494699646643,57.8914345981442,0.005589653222238683,0.0002856035729363013,0.0018193926189983022,0.00037316085009595564,0.09965791327095282,5.081570996978852,-33.18360025999361,96.01095806978148,116,22.82758620689655,80.46222222222222,3.524780127559584,3.853762730161904,19,0.7894736842105263,0.21052631578947367,0.0,0.0,0.8947368421052632,0.10526315789473684,0.0,101.91982246149568,48.0,0.7012455914000845
9,2004,5,14,22,0,NL,32.0612355502233,268.16007652889647,89348,0.6765507632662952,242.26556349506063,545.9612475064995,132064,0.8961549211947376,30.359045529838383,54,200,6444,0.002238438465326588,0.07212248735282267,0.031036623215394164,37.632558304637875,0.01660651467376945,0.001178180469429087,0.001178180469429087,0.0003581501544522541,0.048794523867215896,4.732999284180386,108.6074184465695,33.65699800079044,152,32.11494252873563,101.05633802816901,3.146707733876415,3.5918503125427597,83,0.7228915662650602,0.27710843373493976,0.0,0.27710843373493976,0.7108433734939759,0.012048192771084338,0.0,86.62331115005624,122.0,0.2715149494909176
